Loan_ID,Gender,Married,Dependents,LoanAmount,Credit_History,Property_Area,Loan_Status
LP001319,Male,Yes,2,81,1,Urban,Y
LP001322,Male,No,0,122,1,Semiurban,Y
LP001325,Male,No,0,25,1,Semiurban,Y
LP001326,Male,No,0,,,Urban,N
LP001327,Female,Yes,0,137,1,Semiurban,Y
LP001333,Male,Yes,0,50,1,Semiurban,Y
LP001334,Male,Yes,0,115,1,Semiurban,Y
LP001343,Male,Yes,0,131,1,Semiurban,Y
LP001345,Male,Yes,2,133,1,Urban,Y
LP001349,Male,No,0,151,1,Semiurban,Y
LP001350,Male,Yes,,,1,Urban,Y
LP001356,Male,Yes,0,,1,Semiurban,Y
LP001357,Male,,,160,1,Urban,Y
LP001367,Male,Yes,1,100,1,Urban,Y
LP001369,Male,Yes,2,225,1,Urban,Y
LP001370,Male,No,0,120,1,Rural,N
LP001379,Male,Yes,2,216,0,Urban,N
LP001384,Male,Yes,3+,94,1,Semiurban,Y
LP001385,Male,No,0,136,1,Urban,Y
LP001387,Female,Yes,0,139,1,Semiurban,Y
LP001391,Male,Yes,0,152,0,Rural,N
LP001392,Female,No,1,,1,Semiurban,Y
LP001398,Male,No,0,118,1,Semiurban,Y
LP001401,Male,Yes,1,185,1,Rural,Y
LP001404,Female,Yes,0,154,1,Semiurban,Y
LP001405,Male,Yes,1,85,,Urban,Y
LP001421,Male,Yes,0,175,1,Rural,N
LP001422,Female,No,0,259,1,Urban,Y
LP001426,Male,Yes,,180,1,Rural,Y
LP001430,Female,No,0,44,1,Semiurban,Y
LP001431,Female,No,0,137,0,Semiurban,Y
LP001432,Male,Yes,2,81,1,Semiurban,Y
LP001439,Male,Yes,0,194,1,Rural,Y
LP001443,Female,No,0,93,,Rural,Y
LP001448,,Yes,3+,370,1,Rural,Y
LP001449,Male,No,0,,1,Rural,Y
LP001451,Male,Yes,1,160,0,Urban,N
LP001465,Male,Yes,0,182,,Rural,N
LP001469,Male,No,0,650,,Urban,Y
LP001473,Male,No,0,74,1,Urban,Y
LP001478,Male,No,0,70,1,Semiurban,Y
LP001482,Male,Yes,0,25,1,Semiurban,Y
LP001487,Male,No,0,102,1,Semiurban,Y
LP001488,Male,Yes,3+,290,1,Semiurban,N
LP001489,Female,Yes,0,84,1,Rural,N
LP001491,Male,Yes,2,88,1,Urban,Y
LP001492,Male,No,0,242,0,Semiurban,N
LP001493,Male,Yes,2,129,1,Rural,N
LP001497,Male,Yes,2,185,1,Rural,N
LP001498,Male,No,0,168,1,Urban,Y
LP001504,Male,No,0,175,1,Semiurban,Y
LP001507,Male,Yes,0,122,1,Semiurban,Y
LP001508,Male,Yes,2,187,1,Urban,Y
LP001514,Female,Yes,0,100,1,Semiurban,Y
LP001516,Female,Yes,2,70,1,Urban,Y
LP001518,Male,Yes,1,30,1,Urban,Y
LP001519,Female,No,0,225,1,Rural,N
LP001520,Male,Yes,0,125,1,Semiurban,Y
LP001528,Male,No,0,118,0,Rural,N
LP001529,Male,Yes,0,152,1,Rural,Y
LP001531,Male,No,0,244,1,Urban,N
LP001532,Male,Yes,2,113,1,Rural,N
LP001535,Male,No,0,50,1,Urban,Y
LP001536,Male,Yes,3+,600,0,Semiurban,Y
LP001541,Male,Yes,1,160,,Rural,Y
LP001543,Male,Yes,1,187,1,Urban,Y
LP001546,Male,No,0,120,1,Rural,Y
LP001552,Male,Yes,0,255,1,Semiurban,Y
LP001560,Male,Yes,0,98,1,Semiurban,Y
LP001562,Male,Yes,0,275,1,Urban,N
LP001565,Male,Yes,1,121,0,Semiurban,N
LP001570,Male,Yes,2,158,1,Rural,Y
LP001572,Male,Yes,0,75,1,Urban,Y
LP001574,Male,Yes,0,182,1,Rural,Y
LP001577,Female,Yes,0,112,1,Rural,N
LP001578,Male,Yes,0,129,1,Rural,Y
LP001579,Male,No,0,63,0,Semiurban,N
LP001580,Male,Yes,2,200,1,Semiurban,Y
LP001581,Male,Yes,0,95,1,Rural,Y
LP001585,,Yes,3+,700,1,Urban,Y
LP001586,Male,Yes,3+,81,1,Rural,N
LP001594,Male,Yes,0,187,1,Semiurban,Y
LP001603,Male,Yes,0,87,1,Semiurban,N
LP001606,Male,Yes,0,116,1,Rural,Y
LP001608,Male,Yes,2,101,1,Rural,Y
LP001610,Male,Yes,3+,495,0,Semiurban,N
LP001616,Male,Yes,1,116,1,Semiurban,Y
LP001630,Male,No,0,102,0,Urban,N
LP001633,Male,Yes,1,180,0,Urban,N
LP001634,Male,No,0,67,,Rural,N
LP001636,Male,Yes,0,73,1,Semiurban,Y
LP001637,Male,Yes,1,260,1,Semiurban,N
LP001639,Female,Yes,0,108,1,Semiurban,Y
LP001640,Male,Yes,0,120,1,Semiurban,Y
LP001641,Male,Yes,1,66,0,Rural,N
LP001643,Male,Yes,0,58,,Rural,Y
LP001644,,Yes,0,168,1,Rural,Y
LP001647,Male,Yes,0,188,1,Rural,Y
LP001653,Male,No,0,48,1,Rural,Y
LP001656,Male,No,0,164,1,Semiurban,N
LP001657,Male,Yes,0,160,1,Urban,N
LP001658,Male,No,0,76,1,Semiurban,Y
LP001664,Male,No,0,120,1,Rural,Y
LP001665,Male,Yes,1,170,1,Semiurban,N
LP001666,Male,No,0,187,1,Rural,Y
LP001669,Female,No,0,120,1,Urban,Y
LP001671,Female,Yes,0,113,,Semiurban,Y
LP001673,Male,No,0,83,1,Urban,N
LP001674,Male,Yes,1,90,1,Semiurban,Y
LP001677,Male,No,2,166,0,Semiurban,Y
LP001682,Male,Yes,3+,,1,Urban,N
LP001688,Male,Yes,1,135,1,Urban,Y
LP001691,Male,Yes,2,124,1,Semiurban,Y
LP001692,Female,No,0,120,1,Semiurban,Y
LP001693,Female,No,0,80,1,Urban,Y
LP001698,Male,No,0,55,1,Rural,Y
LP001699,Male,No,0,59,1,Urban,Y
LP001702,Male,No,0,127,1,Semiurban,N
LP001708,Female,No,0,214,1,Semiurban,N
LP001711,Male,Yes,3+,128,0,Semiurban,N
LP001713,Male,Yes,1,240,1,Urban,Y
LP001715,Male,Yes,3+,130,1,Rural,Y
LP001716,Male,Yes,0,137,1,Urban,Y
LP001720,Male,Yes,3+,100,1,Semiurban,Y
LP001722,Male,Yes,0,135,1,Rural,N
LP001726,Male,Yes,0,131,1,Semiurban,Y
LP001732,Male,Yes,2,72,0,Semiurban,N
LP001734,Female,Yes,2,127,,Semiurban,Y
LP001736,Male,Yes,0,60,0,Urban,N
LP001743,Male,Yes,2,116,1,Semiurban,Y
LP001744,Male,No,0,144,1,Semiurban,Y
LP001749,Male,Yes,0,175,1,Semiurban,Y
LP001750,Male,Yes,0,128,1,Semiurban,Y
LP001751,Male,Yes,0,170,1,Rural,N
LP001754,Male,Yes,,138,1,Urban,N
LP001758,Male,Yes,2,210,1,Semiurban,Y
LP001760,Male,,,158,1,Semiurban,Y
LP001761,Male,No,0,200,1,Rural,Y
LP001765,Male,Yes,1,104,1,Semiurban,Y
LP001768,Male,Yes,0,42,1,Rural,Y
LP001770,Male,No,0,120,1,Rural,Y
LP001776,Female,No,0,280,1,Semiurban,Y
LP001778,Male,Yes,1,140,1,Semiurban,Y
LP001784,Male,Yes,1,170,1,Rural,Y
LP001786,Male,Yes,0,255,,Urban,N
LP001788,Female,No,0,122,,Urban,Y
LP001790,Female,No,1,112,1,Rural,Y
LP001792,Male,Yes,1,96,1,Semiurban,Y
LP001798,Male,Yes,2,120,1,Rural,Y
LP001800,Male,Yes,1,140,1,Urban,N
LP001806,Male,No,0,155,1,Urban,Y
LP001807,Male,Yes,2,108,1,Rural,Y
LP001811,Male,Yes,0,123,1,Semiurban,Y
LP001813,Male,No,0,120,1,Urban,N
LP001814,Male,Yes,2,112,1,Urban,Y
LP001819,Male,Yes,1,137,1,Urban,Y
LP001824,Male,Yes,1,123,1,Semiurban,Y
LP001825,Male,Yes,0,90,1,Urban,Y
LP001835,Male,Yes,0,201,0,Semiurban,N
LP001836,Female,No,2,138,1,Urban,N
LP001841,Male,No,0,104,1,Rural,Y
LP001843,Male,Yes,1,279,1,Semiurban,Y
LP001844,Male,No,0,192,0,Urban,N
LP001846,Female,No,3+,255,1,Rural,Y
LP001849,Male,No,0,115,0,Rural,N
LP001854,Male,Yes,3+,94,1,Urban,N
LP001859,Male,Yes,0,304,1,Rural,N
LP001864,Male,Yes,3+,128,,Semiurban,N
LP001865,Male,Yes,1,330,,Urban,Y
LP001868,Male,No,0,134,1,Semiurban,Y
LP001870,Female,No,1,155,1,Semiurban,N
LP001871,Female,No,0,120,1,Rural,Y
LP001872,Male,No,0,128,1,Semiurban,Y
LP001875,Male,No,0,151,1,Rural,Y
LP001877,Male,Yes,2,150,1,Semiurban,Y
LP001882,Male,Yes,3+,160,0,Urban,Y
LP001883,Female,No,0,135,1,Rural,N
LP001884,Female,No,1,90,1,Urban,Y
LP001888,Female,No,0,30,1,Urban,Y
LP001891,Male,Yes,0,136,1,Urban,Y
LP001892,Male,No,0,126,1,Rural,Y
LP001894,Male,Yes,0,150,1,Semiurban,Y
LP001896,Male,Yes,2,90,1,Semiurban,Y
LP001900,Male,Yes,1,115,1,Semiurban,Y
LP001903,Male,Yes,0,207,1,Semiurban,Y
LP001904,Male,Yes,0,80,1,Urban,Y
LP001907,Male,Yes,0,436,1,Semiurban,Y
LP001908,Female,Yes,0,124,,Rural,Y
LP001910,Male,No,1,158,0,Urban,N
LP001914,Male,Yes,0,112,1,Semiurban,Y
LP001915,Male,Yes,2,78,1,Urban,Y
LP001917,Female,No,0,54,1,Urban,Y
LP001922,Male,Yes,0,,1,Rural,N
LP001924,Male,No,0,89,1,Rural,Y
LP001925,Female,No,0,99,1,Semiurban,N
LP001926,Male,Yes,0,120,1,Rural,Y
LP001931,Female,No,0,115,1,Semiurban,Y
LP001935,Male,No,0,187,1,Rural,Y
LP001936,Male,Yes,0,139,1,Rural,Y
LP001938,Male,Yes,2,127,0,Semiurban,N
LP001940,Male,Yes,2,134,1,Urban,Y
LP001945,Female,No,,143,0,Urban,N
LP001947,Male,Yes,0,172,1,Semiurban,Y
LP001949,Male,Yes,3+,110,1,Urban,Y
LP001953,Male,Yes,1,200,1,Semiurban,Y
LP001954,Female,Yes,1,135,1,Urban,Y
LP001955,Female,No,0,151,1,Rural,N
LP001963,Male,Yes,1,113,1,Urban,N
LP001964,Male,Yes,0,93,0,Urban,N
LP001972,Male,Yes,,105,1,Semiurban,Y
LP001974,Female,No,0,132,1,Rural,Y
LP001977,Male,Yes,1,96,1,Urban,Y
LP001978,Male,No,0,140,1,Rural,Y
LP001990,Male,No,0,,1,Urban,N
LP001993,Female,No,0,135,1,Rural,Y
LP001994,Female,No,0,104,0,Urban,N
LP001996,Male,No,0,480,1,Rural,N
LP001998,Male,Yes,2,185,,Rural,Y
LP002002,Female,No,0,84,1,Semiurban,Y
LP002004,Male,No,0,111,1,Semiurban,Y
LP002006,Female,No,0,56,1,Rural,Y
LP002008,Male,Yes,2,144,,Rural,Y
LP002024,,Yes,0,159,1,Rural,N
LP002031,Male,Yes,1,111,1,Urban,Y
LP002035,Male,Yes,2,120,1,Semiurban,Y
LP002036,Male,Yes,0,88,,Urban,Y
LP002043,Female,No,1,112,,Semiurban,Y
LP002050,Male,Yes,1,155,1,Rural,N
LP002051,Male,Yes,0,115,1,Semiurban,Y
LP002053,Male,Yes,3+,124,1,Semiurban,Y
LP002054,Male,Yes,2,,1,Rural,Y
LP002055,Female,No,0,132,,Rural,Y
LP002065,Male,Yes,3+,300,1,Rural,Y
LP002067,Male,Yes,1,376,0,Rural,N
LP002068,Male,No,0,130,0,Rural,Y
LP002082,Male,Yes,0,184,1,Semiurban,Y
LP002086,Female,Yes,0,110,1,Urban,N
LP002087,Female,No,0,67,1,Urban,Y
LP002097,Male,No,1,117,1,Urban,Y
LP002098,Male,No,0,98,1,Semiurban,Y
LP002100,Male,No,,71,1,Urban,Y
LP002101,Male,Yes,0,490,1,Urban,Y
LP002103,,Yes,1,182,1,Urban,Y
LP002106,Male,Yes,,70,1,Semiurban,Y
LP002110,Male,Yes,1,160,1,Rural,Y
LP002112,Male,Yes,2,176,1,Rural,Y
LP002113,Female,No,3+,,0,Urban,N
LP002114,Female,No,0,71,1,Semiurban,Y
LP002115,Male,Yes,3+,173,1,Rural,N
LP002116,Female,No,0,46,1,Rural,N
LP002119,Male,Yes,1,158,1,Urban,Y
LP002126,Male,Yes,3+,74,1,Semiurban,Y
LP002128,Male,Yes,2,125,1,Rural,Y
LP002129,Male,Yes,0,160,1,Semiurban,Y
LP002130,Male,Yes,,152,0,Rural,N
LP002131,Male,Yes,2,126,1,Urban,Y
LP002137,Male,Yes,0,259,,Semiurban,Y
LP002138,Male,Yes,0,187,1,Rural,Y
LP002139,Male,Yes,0,228,1,Semiurban,Y
LP002140,Male,No,0,308,1,Rural,N
LP002141,Male,Yes,3+,95,1,Rural,Y
LP002142,Female,Yes,0,105,0,Rural,N
LP002143,Female,Yes,0,130,1,Semiurban,Y
LP002144,Female,No,,116,1,Urban,Y
LP002149,Male,Yes,2,165,1,Rural,Y
LP002151,Male,Yes,1,67,1,Urban,N
LP002158,Male,Yes,0,100,0,Urban,N
LP002160,Male,Yes,3+,200,1,Semiurban,Y
LP002161,Female,No,1,81,1,Semiurban,N
LP002170,Male,Yes,2,236,1,Semiurban,Y
LP002175,Male,Yes,0,130,1,Urban,Y
LP002178,Male,Yes,0,95,,Urban,Y
LP002180,Male,No,0,141,1,Rural,Y
LP002181,Male,No,0,133,1,Rural,N
LP002187,Male,No,0,96,1,Semiurban,N
LP002188,Male,No,0,124,0,Rural,N
LP002190,Male,Yes,1,175,1,Semiurban,Y
LP002191,Male,Yes,0,570,1,Rural,N
LP002194,Female,No,0,55,1,Semiurban,Y
LP002197,Male,Yes,2,155,1,Semiurban,Y
LP002201,Male,Yes,2,380,1,Rural,Y
LP002205,Male,No,1,111,0,Urban,N
LP002209,Female,No,0,110,1,Urban,Y
LP002211,Male,Yes,0,120,1,Urban,Y
LP002219,Male,Yes,3+,130,1,Rural,Y
LP002223,Male,Yes,0,130,,Semiurban,Y
LP002224,Male,No,0,71,1,Urban,N
LP002225,Male,Yes,2,130,1,Urban,Y
LP002226,Male,Yes,0,128,1,Semiurban,Y
LP002229,Male,No,0,296,1,Semiurban,Y
LP002231,Female,No,0,156,1,Urban,Y
LP002234,Male,No,0,128,1,Urban,Y
LP002236,Male,Yes,2,100,1,Urban,N
LP002237,Male,No,1,113,1,Urban,Y
LP002239,Male,No,0,132,1,Semiurban,Y
LP002243,Male,Yes,0,,0,Urban,N
LP002244,Male,Yes,0,136,1,Urban,Y
LP002250,Male,Yes,0,125,1,Rural,Y
LP002255,Male,No,3+,185,1,Rural,Y
LP002262,Male,Yes,3+,275,1,Rural,Y
LP002263,Male,Yes,0,120,,Urban,Y
LP002265,Male,Yes,2,113,1,Semiurban,Y
LP002266,Male,Yes,2,113,1,Urban,Y
LP002272,Male,Yes,2,135,,Semiurban,Y
LP002277,Female,No,0,71,0,Urban,N
LP002281,Male,Yes,0,95,1,Urban,Y
LP002284,Male,No,0,109,1,Rural,Y
LP002287,Female,No,0,103,0,Semiurban,N
LP002288,Male,Yes,2,45,0,Urban,N
LP002296,Male,No,0,65,1,Rural,N
LP002297,Male,No,0,103,1,Semiurban,Y
LP002300,Female,No,0,53,1,Semiurban,Y
LP002301,Female,No,0,194,1,Rural,N
LP002305,Female,No,0,115,1,Semiurban,Y
LP002308,Male,Yes,0,115,1,Urban,Y
LP002314,Female,No,0,66,1,Rural,Y
LP002315,Male,Yes,1,152,0,Semiurban,N
LP002317,Male,Yes,3+,360,0,Rural,N
LP002318,Female,No,1,62,1,Semiurban,N
LP002319,Male,Yes,0,160,,Urban,Y
LP002328,Male,Yes,0,218,0,Rural,N
LP002332,Male,Yes,0,110,1,Rural,Y
LP002335,Female,Yes,0,178,0,Semiurban,N
LP002337,Female,No,0,60,1,Urban,Y
LP002341,Female,No,1,160,1,Urban,N
LP002342,Male,Yes,2,239,1,Urban,N
LP002345,Male,Yes,0,112,1,Rural,Y
LP002347,Male,Yes,0,138,1,Semiurban,Y
LP002348,Male,Yes,0,138,1,Rural,Y
LP002357,Female,No,0,80,0,Urban,N
LP002361,Male,Yes,0,100,1,Urban,Y
LP002362,Male,Yes,1,110,0,Urban,N
LP002364,Male,Yes,0,96,1,Semiurban,Y
LP002366,Male,Yes,0,121,1,Rural,Y
LP002367,Female,No,1,81,1,Rural,N
LP002368,Male,Yes,2,133,1,Semiurban,Y
LP002369,Male,Yes,0,87,1,Rural,Y
LP002370,Male,No,0,60,1,Urban,Y
LP002377,Female,No,1,150,1,Semiurban,Y
LP002379,Male,No,0,105,0,Rural,N
LP002386,Male,No,0,405,1,Semiurban,Y
LP002387,Male,Yes,0,143,1,Semiurban,Y
LP002390,Male,No,0,100,1,Urban,Y
LP002393,Female,,,,1,Semiurban,Y
LP002398,Male,No,0,50,1,Semiurban,Y
LP002401,Male,Yes,0,,1,Urban,Y
LP002403,Male,No,0,187,0,Urban,N
LP002407,Female,Yes,0,138,1,Rural,Y
LP002408,Male,No,0,187,1,Semiurban,Y
LP002409,Male,Yes,0,180,1,Rural,Y
LP002418,Male,No,3+,148,1,Semiurban,Y
LP002422,Male,No,1,152,1,Semiurban,Y
LP002424,Male,Yes,0,175,,Rural,Y
LP002429,Male,Yes,1,130,1,Rural,Y
LP002434,Male,Yes,2,110,1,Rural,Y
LP002435,Male,Yes,0,55,1,Rural,N
LP002443,Male,Yes,2,150,0,Rural,N
LP002444,Male,No,1,190,,Semiurban,N
LP002446,Male,Yes,2,125,0,Rural,N
LP002447,Male,Yes,2,60,,Urban,Y
LP002448,Male,Yes,0,149,0,Rural,N
LP002449,Male,Yes,0,90,0,Rural,Y
LP002453,Male,No,0,84,1,Semiurban,Y
LP002455,Male,Yes,2,96,1,Semiurban,Y
LP002459,Male,Yes,0,118,1,Urban,Y
LP002467,Male,Yes,0,173,1,Urban,N
LP002472,Male,No,2,136,1,Rural,Y
LP002473,Male,Yes,0,160,1,Semiurban,N
LP002478,,Yes,0,160,,Semiurban,Y
LP002484,Male,Yes,3+,128,1,Urban,Y
LP002487,Male,Yes,0,153,1,Rural,Y
LP002489,Female,No,1,132,1,Semiurban,Y
LP002493,Male,No,0,98,0,Semiurban,N
LP002494,Male,No,0,140,1,Rural,Y
LP002500,Male,Yes,3+,70,0,Urban,N
LP002501,,Yes,0,110,1,Semiurban,Y
LP002502,Female,Yes,2,98,1,Semiurban,Y
LP002505,Male,Yes,0,110,1,Urban,N
LP002515,Male,Yes,1,162,1,Semiurban,Y
LP002517,Male,Yes,1,113,0,Rural,N
LP002519,Male,Yes,3+,100,1,Semiurban,Y
LP002522,Female,No,0,93,,Urban,Y
LP002524,Male,No,2,162,1,Rural,Y
LP002527,Male,Yes,2,150,1,Rural,Y
LP002529,Male,Yes,2,230,1,Semiurban,Y
LP002530,,Yes,2,132,0,Semiurban,N
LP002531,Male,Yes,1,86,1,Semiurban,Y
LP002533,Male,Yes,2,,1,Urban,N
LP002534,Female,No,0,154,1,Rural,Y
LP002536,Male,Yes,3+,113,1,Rural,Y
LP002537,Male,Yes,0,128,1,Semiurban,Y
LP002541,Male,Yes,0,234,1,Semiurban,Y
LP002543,Male,Yes,2,246,1,Semiurban,Y
LP002544,Male,Yes,1,131,1,Rural,Y
LP002545,Male,No,2,80,0,Rural,N
LP002547,Male,Yes,1,500,1,Urban,N
LP002555,Male,Yes,2,160,1,Semiurban,Y
LP002556,Male,No,0,75,1,Urban,N
LP002560,Male,No,0,96,,Semiurban,Y
LP002562,Male,Yes,1,186,,Urban,Y
LP002571,Male,No,0,110,1,Rural,Y
LP002582,Female,No,0,225,1,Semiurban,Y
LP002585,Male,Yes,0,119,0,Rural,N
LP002586,Female,Yes,1,105,1,Semiurban,Y
LP002587,Male,Yes,0,107,1,Rural,Y
LP002588,Male,Yes,0,111,,Urban,Y
LP002600,Male,Yes,1,95,1,Semiurban,Y
LP002602,Male,No,0,209,0,Rural,N
LP002603,Female,No,0,113,1,Rural,Y
LP002606,Female,No,0,100,1,Semiurban,Y
LP002615,Male,Yes,2,208,1,Semiurban,Y
LP002618,Male,Yes,1,138,,Rural,N
LP002619,Male,Yes,0,124,1,Semiurban,Y
LP002622,Male,Yes,2,243,1,Rural,Y
LP002624,Male,Yes,0,480,,Urban,Y
LP002625,,No,0,96,1,Urban,N
LP002626,Male,Yes,0,188,1,Urban,Y
LP002634,Female,No,1,40,1,Urban,Y
LP002637,Male,No,0,100,1,Rural,N
LP002640,Male,Yes,1,250,1,Semiurban,Y
LP002643,Male,Yes,2,148,1,Urban,Y
LP002648,Male,Yes,0,70,1,Semiurban,N
LP002652,Male,No,0,311,1,Rural,N
LP002659,Male,Yes,3+,150,1,Rural,Y
LP002670,Female,Yes,2,113,1,Semiurban,Y
LP002682,Male,Yes,,123,0,Semiurban,N
LP002683,Male,No,0,185,1,Semiurban,N
LP002684,Female,No,0,95,1,Rural,N
LP002689,Male,Yes,2,45,1,Semiurban,Y
LP002690,Male,No,0,55,1,Semiurban,Y
LP002692,Male,Yes,3+,100,1,Rural,Y
LP002693,Male,Yes,2,480,1,Rural,Y
LP002697,Male,No,0,,1,Semiurban,N
LP002699,Male,Yes,2,400,1,Rural,Y
LP002705,Male,Yes,0,110,1,Semiurban,Y
LP002706,Male,Yes,1,161,0,Semiurban,Y
LP002714,Male,No,1,94,1,Semiurban,Y
LP002716,Male,No,0,130,1,Semiurban,Y
LP002717,Male,Yes,0,216,,Rural,Y
LP002720,Male,Yes,3+,100,1,Urban,Y
LP002723,Male,No,2,110,0,Rural,N
LP002729,Male,No,1,196,,Semiurban,N
LP002731,Female,No,0,125,1,Urban,Y
LP002732,Male,No,0,126,1,Rural,Y
LP002734,Male,Yes,0,324,1,Urban,Y
LP002738,Male,No,2,107,1,Semiurban,Y
LP002739,Male,Yes,0,66,1,Rural,N
LP002740,Male,Yes,3+,157,1,Rural,Y
LP002741,Female,Yes,1,140,1,Semiurban,Y
LP002743,Female,No,0,99,0,Semiurban,N
LP002753,Female,No,1,95,1,Semiurban,Y
LP002755,Male,Yes,1,128,1,Urban,Y
LP002757,Female,Yes,0,102,,Semiurban,Y
LP002767,Male,Yes,0,155,1,Rural,Y
LP002768,Male,No,0,80,1,Semiurban,N
LP002772,Male,No,0,145,1,Rural,Y
LP002776,Female,No,0,103,0,Semiurban,N
LP002777,Male,Yes,0,110,1,Rural,Y
LP002778,Male,Yes,2,,0,Rural,N
LP002784,Male,Yes,1,,1,Rural,Y
LP002785,Male,Yes,1,158,1,Urban,Y
LP002788,Male,Yes,0,181,0,Urban,N
LP002789,Male,Yes,0,132,0,Rural,N
LP002792,Male,Yes,1,26,1,Semiurban,Y
LP002794,Female,No,0,84,,Urban,Y
LP002795,Male,Yes,3+,260,1,Semiurban,Y
LP002798,Male,Yes,0,162,1,Semiurban,Y
LP002804,Female,Yes,0,182,1,Semiurban,Y
LP002807,Male,Yes,2,108,1,Semiurban,Y
LP002813,Female,Yes,1,600,1,Semiurban,Y
LP002820,Male,Yes,0,211,1,Rural,Y
LP002821,Male,No,0,132,1,Semiurban,Y
